Sentence	Topic_Label
एक मौका अफ़गानिस्तान के लिए	4
गोपनीयता की नीति	1
ड्रोन हमलों पर संयुक्त राष्ट्र ने चिंता जताई	2
ग्रामीणों से चल रहा है बीपीओ	1
नेपोलियन के दो सौ साल पुराने ख़त की नीलामी 	2
पाकिस्तान में 'चरमपंथी नेता' पर हमला, कई मरे	2
कजाकिस्तान की श्वेडोवा ने जीता 'गोल्डन सेट'	4
द रिलक्टेंट फंडामेंटलिस्ट: 9/11 की 'दीवार' गिराने की कोशिश	3
धड़ाधड़ बिल 'निपटाए' संसद ने 	0
दोस्तों से बचाने वाला 'एंटी सोशल' ऐप 	5
पंजाब: 'सामाजिक बहिष्कार' में पिसते दलित	0
मिलिए देश के पहले दृष्टिहीन चार्टर्ड अकाउंटेंट से	0
'अब न जाएंगे चंदेरी की गलियां छोड़ कर'	0
ग़ज़ा संघर्ष में मौतों की संख्या 300 के पार	2
कौन होगा पाकिस्तानी तालिबान का अगला नेता?	2
क्या नंगे हो जाना अभिव्यक्ति की स्वतंत्रता है?	2
चीन ने पूरी तरह बंद किए विवादित लेबर कैंप	0
सनी लियोनी से झगड़े की बातें बेबुनियाद: पूजा 	3
लेह: मृतकों  की संख्या बढ़ने की आशंका	0
अमीष त्रिपाठी 10-12 साल नास्तिक रहने के बाद फिर आस्तिक कैसे हुए?	0
सीरिया में बड़ा धमाका, 31 मरे	2
अमरीका राष्ट्रपति पद का चुनाव: पांच मुद्दे, पांच जवाब	2
मध्य प्रदेश में विदेशी महिला के साथ 'गैंगरेप'	0
स्कूटर-मोटरसाइकिल का इस्तेमाल बढ़ा	0
आईपीएल नीलामी: युवराज 14, शामी 4.25, सहवाग केवल 3.20 करोड़	4
अब घर घर राशन भी पहुंचाएंगे ड्रोन!	2
अभिनेत्री ने खोली कास्टिंग काउच की पोल	3
चीनः ऑनलाइन अफ़वाह फैलाने के आरोप में 110 गिरफ़्तार	2
लिली थॉमस: उम्र 85 फिर भी डाली हर नेता की जान सांसत में	0
पॉर्न साइट्स का दावा: देखने में ख़तरा नहीं	5
एशिया कप: श्रीलंका ने पाकिस्तान को 12 रनों से हराया	4
टेनिस कोर्ट पर पनपा पप्पू यादव का प्यार	0
ब्रिटेन में बनारस का कुआँ	2
गर्व होगा अगर बेटी अभिनेत्री बने: शाहरुख खान	3
अहमदाबाद टेस्ट का पहला दिन सहवाग के नाम	4
'राज्यपालों को यूँ हटने के लिए कहना दुर्भाग्यपूर्ण'	0
'सबसे बड़े नरसंहार' पीड़ितों को इंसाफ़ का इंतज़ार	0
जानलेवा बैक्टीरिया भी हैं 'पवित्र' गंगा जल में	0
चीन में बर्र के हमले से 41 लोगों की मौत	2
'चमको' से चमकी दीप्ति नवल की किस्मत	3
जेल में बंद भारतीय कैप्टन सुनील जेम्स रिहा	2
हत्या के पीछे नरबलि या पारिवारिक रंजिश	1
बीबीसी हिंदी से संपर्क कीजिए	1
महिलाओं का कारवां	0
'मोदी तो राहुल और केजरीवाल को भी फ़ॉलो करते हैं'	0
इंटरनेट ने बदले मनोरंजन के मायने	5
डिजिटल इंडियंस: आखिरी हैंगआउट आज	0
बनारस को है 12 मई का इंतज़ार और मोदी को?	0
दुर्लभ पेंटिंग चाहिए 80 रुपए निकालें!	2
दुर्गा शक्ति पर अखिलेश सख्त, थमाई चार्जशीट	0
फिक्सिंग मामले में पांच खिलाड़ी निलंबित	4
पटना के हादसे पर शोक, सरकार पर आरोप	0
फ़रवरी में होगी रानी मुखर्जी-आदित्य चोपड़ा की शादी ?	3
चीन: नील हेवुड की हत्या की पूरी जांच होगी	2
'ब्रिटेन में मंहगाई बढ़ेगी'	1
अफ़गान महिलाओं को इंसाफ़ की आस	2
'घर से बाहर न आएँ -शेर, भालू घूम रहे हैं'	1
शादी के लिए मेकअप करा रही युवती पर तेज़ाब हमला	0
पाकिस्तान पर फिर सियासी 'ड्रोन' का साया	2
किबिथू गांव के लिए दिल्ली दूर रंगून पास	0
यौन प्रताड़ना से जुड़ा अध्यादेश पारित, जघन्य मामलों में मौत की सज़ा	0
उत्तराखंड त्रासदी: चाहकर भी रो नहीं पाता...	0
ममता से सवाल करने वालों की जानकारी मांगी	0
ख़नन कंपनियों को मुनाफ़ा बांटना होगा	1
'मैंने अपने आईपैड की टूटी स्क्रीन ख़ुद ठीक की'	5
छत्तीसगढ़: 'ये पावर प्लांट जीवन में अंधेरा ही लाए हैं'	0
बदहाली के आंसू रोता नेहरु का 'स्विट्ज़रलैंड'	0
'भटकल के दोस्त भाजपा में, जल्दी ही दाऊद भी'	0
आवारा कुत्तों ने 31 काले हिरणों को मार डाला	0
लोकपाल बिल को मिली राष्ट्रपति की मंज़ूरी	0
लीबिया में गृह युद्ध की आशंका: मूसा खूसा	1
बीबीसी हिंदी डॉट कॉम : नियम व शर्तें	1
'करदाताओं की ज़िंदगी आसान बनाए सरकार'	0
बग़दाद की सड़कों पर शिया लड़ाकों की परेड	2
कांग्रेस को सपने में हाथी खदेड़ता है-मायावती	0
कौन डरता है आम आदमी पार्टी से?	0
इंटरव्यू दे देकर अब थक गई हूं : अलका याग्निक	3
बिहार: मिड डे मील खाने से बच्चे कर रहे हैं इनकार	0
जेनेवा वार्ता में हिस्सा ले सीरियाई विपक्ष: हेग	2
दुनिया का सबसे प्राचीन 'सार्वजनिक शौचालय'	5
अफ़ग़ानिस्तान में सैन्य अभियान धीमा	2
बिहार: मुस्लिम मतदाता और सियासी असमंजस	0
बर्फ़ का कहर और ज्वालामुखी की आग	2
चीन के भावी नेता लापता, अफवाहें गर्म	2
ईरान: मां ने बेटे के क़ातिल को किया माफ़	2
अमरीका-रूस समझौते का ओबामा ने किया स्वागत	2
नरेंद्र मोदीः कांग्रेस ने देश को सिखाई नई 'एबीसीडी'	0
छोड़ कर रिश्तेदारी, ठानी जानवरों से यारी	0
जब दिलीप कुमार के निकाह में दौड़े आए थे प्राण..	3
ये हैं हिंदुत्व के नए एंग्री यंग मैन!	0
कश्मीर में अलगाववादियों के पास कहां से आता है पैसा?	0
चरमपंथ का गढ़ न बने पाकिस्तान: हिलेरी	0
केजरीवाल के बोल और कांग्रेसी विधायक का हंगामा	0
क्या मोदी को क्लीन चिट सही? फैसला आज	0
विजय माल्या को मिला डिआजियो का सहारा	0
भट्टी हत्या: दो इरादों का इशारा	2
इसराइल के लिए विमान सेवाएं स्थगित	2
'मच्छरों' के बहाने भाजपा पर राहुल का निशाना	0
सरकार को है आपकी जासूसी का हक़?	0
जब मगरमच्छ को गटक गया एक साँप	2
'लव, ओबामा' की मल्लिका	3
भारतीय हॉकी को लगा झटका	4
'मुड़कर देखा, शेरनी ठीक पीछे खड़ी थी...'	0
ओसामा की मुखबिरी करने वाला बनेगा हीरो!	2
सैंडी पर कार्रवाई से ओबामा के प्रचार को मिली गति 	2
ऑस्ट्रेलियन ओपन: फेडरर ने किया मरे को बाहर	4
मोदी से तालमेल नहीं, विरोध में प्रचार करेंगे नीतीश	0
'चौंकाने वाली चाल' से कौन जीतेगा राजनीतिक जंग	0
अदला-बदली का पता 60 साल बाद चला	2
सीरिया: अंधेरे में 10 लाख बच्चों का भविष्य	2
आईएसआई प्रमुख अमरीकी यात्रा पर	2
कर्ज़ लेकर बनी कश्मीरी फ़िल्म ने जीता अवार्ड	3
बलात्कार मामला: दस बदलाव, पांच अड़चनें	0
सुप्रीम कोर्ट: प्रशांत भूषण पर अवमानना की कार्रवाई नहीं	0
क्या क्या हो सकता था मंगलयान के खर्चे पर?	0
वीबो से चीन में सामाजिक बदलाव	2
जिन्होंने दिया था 'बाबूभाई' और 'छोटा छतरी' जैसा किरदार	3
क्यों करता है कोई बर्बर तरीक़े से बलात्कार?	0
अभिनेत्री सुचित्रा सेन की हालत गंभीर	3
बंगाल में बलात्कार और दिल्ली में छेड़छाड़	0
पाकिस्तान: जिहादी और भारत विरोधी साहित्य की बिक्री ज़ोरों पर	2
बीबीसी हिंदी की जन्म कथा	0
अपराध रोकेगा सॉफ़्टवेयर	2
टिप्पणी अमित शाह पर नहीं: आरएसएस	0
आडवाणी इस्तीफे का फैसला बदलें: मोदी	0
भू-अधिग्रहण विधेयक के मसौदे पर रस्साकशी	0
पैगंबर मोहम्मद के कार्टून का जवाब कार्टून से	1
ईरानी राष्ट्रपति की वापसी पर विरोध और समर्थन दोनों 	2
नरेंद्र मोदी और मोरारी बापू की 'बाबा' वाली दोस्ती	0
'हर दिन होता है लड़कियों का यौन उत्पीड़न'	3
... तो सरकारी दफ़्तर में  सांप छोड़ दिए	0
जब गलत पार्किंग पर लगा 66 लाख का जुर्माना 	2
दिल्ली में निकला बेशर्मी मोर्चा	0
रणबीर ने अलग रहने के लिए ख़रीदा नया घर!	3
देश का माहौल बिगाड़ने की कोशिश: नीतीश 	0
मैक्सिको में वेबसाइटों पर हैकर्स का कब्जा	1
मलाला की किताब पर 'इस्लाम विरोधी' होने का आरोप	2
चीनः ज़िंदगी बचाने वाले को देनी पड़ी जान	2
भारत पर आरोपों से भरे हैं चीनी अख़बार	0
नौ महीने का बच्चा हत्या के प्रयास के आरोपों से मुक्त	2
छत्तीसगढ़: 'सांस का दुश्मन' बना एक पेड़	0
संजय दत्त पर सनी: गलती तो गलती है	3
'माओवादी छापामारों' की सामूहिक क़ब्र	0
साल 2013 का दलित और आदिवासी हिंदी साहित्य	0
आर्कटिक में टूट सकता है गर्मी का रिकॉर्ड	2
दलाई लामा: 'हत्या की साज़िश' का चीन ने किया खंडन	2
प्रणब: अर्थव्यवस्था में 'कमजोरी के संकेत'	1
वंजारा ने दिया इस्तीफा, मोदी पर बरसे	0
सरल जीवन की याद दिलाता ये सवारी म्यूजियम	0
अर्थव्यवस्था को पटरी पर लाएगी सरकारः प्रधानमंत्री	0
सैमसंग ने लॉच किया घुमावदार गैलेक्सी राउंड	5
अख़बारों में मोदी बनाम राहुल के साथ फॉर्मूला वन का तड़का 	0
यूसैन बोल्ट ने रियो के रहस्य से पर्दा उठाया	4
17 साल बाद वाजपेयी दोषी, राव निर्दोष	0
पाकिस्तान के कई इलाक़ो में बत्ती गुल	2
ग्रीस के सेक्स बाजार पर मंदी की मार	1
मैला ढोना आध्यात्मिक अनुभव: नरेंद्र मोदी	0
युवराज: कैंसर से क्रिकेट तक का सफर...	4
शाम से आँख में नमी सी है...	3
'चमड़ी का रंग कुछ भी, हम किसी के कम नहीं' 	0
क्या बो शिलाई के पतन पर चीन को अफ़सोस होगा?	2
मुर्दाघर से जिंदा निकली 'मृत' बच्ची	1
खोई हुई हीरे की अंगूठी 13 साल बाद गाजर में मिली	2
स्नोडेन को नहीं मिलेगी माफ़ी	2
विकी डोनर की 'नौटंकी साला'  	3
नए साल में थोड़ी देर से आया व्हाट्सऐप	0
सीरियाई विद्रोही गुट ने थामा अल क़ायदा का हाथ	0
सर्जरी जहाँ मरीज़ सब देख रहा है पर होश में नहीं..........	5
जिसने रचा 'कौन बनेगा करोड़पति'	3
विलियम वर्ड्सवर्थ की पसंदीदा झील होगी ईबे पर नीलाम	2
चुनावी हलचल: संघ की पत्रिका में राहुल 'दावेदार'	0
क्यों है शाहरुख़ को 555 से प्यार?	0
भद्द पिटवा रहे हैं शोएब	4
नेटो को मांगनी पड़ी माफी	2
चीनः एक बच्चा नीति में ढील, फिर भी सख़्त सजा बरकरार	1
जॉन केरी के पीछे पड़ा स्नोडन का भूत	0
एक बाउंसर ने ख़त्म कर दिया क्रिकेट करियर	0
अमरीका ने पाइरेसी विधेयकों को टाला	1
चीनी नेता भ्रष्टाचार,अनैतिक संबंधो के दोषी!	2
ममता ने दी ज़्यादा सिगरेट पीने की सलाह	0
एमएच-370: जांच बंद होने से लापता यात्रियों के परिजन खफ़ा	2
पाकिस्तानी विमान से दो संदिग्ध की गिरफ़्तारी	2
रेगिस्तान में पानी के लिए तड़पते जोड़े ने दम तोड़ा	2
इंटरनेट पर बचाव के पांच नुस्खे!	0
तहलका केस: तेजपाल से तीसरे दिन भी पूछताछ नहीं	0
'फौज तो बड़ी लेकिन जनरल ही गायब'	0
विमान के कॉकपिट में चूहा	2
1962 का युद्ध: विश्वासघात या कायरता	0
इंडियन ग्रां प्री: फार्मूला वन से कठिन  भारतीय सड़कें	4
उपचुनावों में टीआरएस की भारी जीत	0
नरेंद्र मोदी को पप्पू की ललकार	0
अपनों की बुरी नज़र का शिकार होती बेटियां	0
बेडरुम में संकट से जूझते फ़्रांस के मर्द	5
इंदिरा गांधी या टैगोर पर फिल्म बनाना मुमकिन है?	0
डरते हैं भारतीय फ़िल्मकार: निशा पाहूजा	3
माइक्रोसॉफ्ट क्यों दे रही है 90 लाख का इनाम	5
अजितपाल सिंह करेंगे ओलंपिक दल का नेतृत्व	4
ईसाई मिशनरी कॉलेज में भारत माता की आरती की मांग को लेकर विवाद	0
फार्मूला वन कार का दिल से रिश्ता !	5
रूस 'अमरीकी सीआईए एजेंट' को निकालेगा	2
क्या फिर परमाणु परीक्षण करेगा उत्तर कोरिया?	2
उड़ता पंजाब नहीं उड़ता पीएम	3
क़र्ज़े ने फंसाया भारतीय नर्सों को इराक़ में	2
नहीं मिले सुब्रत रॉय, ख़ाली हाथ लौटी पुलिस 	0
सलमान ख़ुर्शीद मामला: चुनाव आयोग की राष्ट्रपति से गुहार	0
भारत-पाक सीमा पर फ़ायरिंग, चार मरे	0
पाकिस्तानी कैदियों को मिले सुरक्षा: दलबीर	0
ब्रिटेन को क्यों नहीं भाया 4जी?	5
एसिड अटैक :सर्जरी के बाद भी नहीं बदलेगी ज़िंदगी	0
मुसलमानों पर हमले क्यों कर रहे हैं बौद्ध? 	2
पाकिस्तान: ईंट मार-मारकर युवती की हत्या	2
'भारत की सुरक्षा है सबसे बड़ी चुनौती'	0
कौन थीं सुनंदा पुष्कर?	0
अफ़ज़ल गुरु: कश्मीर में प्रर्दशनों की लहर	0
एसबीआई की अरूंधति भट्टाचार्य कैसे पहुँचीं यहाँ तक?	0
मोदी के ख़िलाफ़ चुनाव आयोग पहुंची कांग्रेस	0
ईशनिंदा से ब्लॉक हुए पाक समूह फेसबुक, ट्विटर पर..	2
बलात्कार पीड़िता को कैद में रखने पर सख्त सुप्रीम कोर्ट	0
चुनाव के बीच असम में हिंसा के पीछे क्या है? 	0
हैदराबाद: दसियों हज़ार क़त्ल लेकिन ज़िक्र तक नहीं	0
बीबीसी टेक वन	3
केजरीवाल का इस्तीफ़ा: मास्टर स्ट्रोक या सियासी चूक?	0
'पुरुषों के हाथ 'इधर-उधर भटके' तो खैर नहीं'	0
जहां ज़्यादातर पुरूषों का नाम है मोहम्मद 	2
पोप को लगा है पेसमेकर, वैटिकन ने की पुष्टि	2
असम: शिकारियों ने मारे 13 गैंडे	0
गूगल करेगा चाइल्ड पोर्न की सर्च (बहुत) मुश्किल	2
फ़ेसबुक से राहत ओबामा या रोमनी को? 	2
डीज़ल छोड़ ग्रीन एनर्जी से चलेंगे मोबाइल टावर?	5
फ्रांस में कार्निवल में धमाका, कई घायल	2
पायलिन के बाद बिहार और झारखंड भी बेहाल	0
सबसे महंगी दीपिका पादुकोण !	3
अहमदाबाद टी-20: रनों के तूफ़ान में भारत की जीत	0
महंगाई पर काबू पाने के लिए विशेष फ़ंड : भाजपा	0
भारत-दक्षिण अफ़्रीका मैच बारिश के कारण रद्द	4
चैंपियंस ट्रॉफ़ी: दक्षिण अफ़्रीका की स्थिति ख़राब	4
मुशर्रफ़ पर देशद्रोह के आरोप तय	2
शीर्ष माओवादी नेता उसेंडी का आत्मसमर्पण	0
कैसे बनता है एक आदर्श शहर?	1
मोबाइल फ़ोन और ब्रेन कैंसर में कोई संबंध नहीं	5
राम जेठमलानी भाजपा से निष्कासित	0
ओबामा ने की पाकिस्तान की अनदेखी	1
बंदूकों पर लगाम लगाने का प्रस्ताव	2
धमाकों ने उजाड़ा, मानवता ने बसाया	0
धमाके की योजना और भाईचारे का स्वांग	0
लक्ष्मी मित्तल के वेतन में बढ़ोतरी 	0
कैसे हुई छत्तीसगढ़ में एक भालू की मौत?	0
केट बनीं मां, बेटे को दिया जन्म	2
स्कूली बच्चे का बनाया ऐप करोड़ों में बिका	5
गूगल लेंस: अब आंसू देंगे डायबिटीज़ का पता	5
मिस्रः 183 ब्रदरहुड समर्थकों की फ़ांसी पर मुहर	2
सईद की रिहाई पर अपील	2
अमरीका-उत्तर कोरिया तनाव के बीच रूस की मिसाइलें मुस्तैद	2
वो 27 साल से लापता थी, कहाँ थी वो?	2
मुंबई: मंत्रालय भवन में भीषण आग की जांच के आदेश	0
पाकिस्तान में बढ़े फेसबुक के दीवाने	2
'आईएसआई प्रमुख का इस्तीफ़ा नामंज़ूर'	2
दिल्ली बलात्कार को लेकर चीन ने उड़ाई खिल्ली!	2
पॉज़िटिव: तो शादी की बात चलाएं	0
आम चुनाव: क्यों है यूपी में दम?	0
तस्करी के शुक्राणुओं से जन्म ले रहे फलस्तीनी	2
कपड़े-साड़ियां लूटने के चक्कर में नौ की मौत	0
'अंबेडकर टुडे' मामले की सीआईडी जाँच	0
भूखे मरते लोगों को बचाने के लिए संघर्षविराम की अपील	2
ट्रैजेडी से निकलती है कॉमेडी: सुरेन्द्र शर्मा	0
'नोएडा में 156 हेक्टेयर भू-अधिग्रहण अवैध'	0
अमरीका में दो मालगाड़ियों की टक्कर, लगी भीषण आग	2
अज़रबैजान में पत्रकारों को क्यों मिले मुफ़्त फ़्लैट	2
हैदराबाद ने बंगलौर, मुंबई ने दिल्ली को हराया	4
आख़िर है कौन ये आम आदमी ?	0
व्हेल को भी चाहिए शांति और सुकून	5
दिल्ली गैंगरेप: सभी दोषियों को मौत की सज़ा	0
दिल्ली में अरविंद केजरीवाल को थप्पड़ मारा	0
भारतीय पेशेवरों पर मंदी का असर 	1
मुझे बिजली के झटके दिए गए थे: सोनी सोरी	0
हो जाए चुनाव बनारस वाला... 	0
मोबाइल के ज़रिए परीक्षा में नकल	1
कितने साल के हैं उत्तर प्रदेश के 'राजा भैया'	0
वो 98 बच्चों की 'मां' हैं	0
'बड़े रहस्यमय' हैं भारत-इसराइल संबंध	0
गुजरात चुनावः मुस्लिम उम्मीदवार जिन्होंने जीत दर्ज की	0
ज़मीन आबंटन मामले में फिर हंगामा	0
बाहर से आए 'कूड़े-कचरे' को साफ करें बिहार के लोग: नीतीश कुमार	0
सीबीआई निदेशक के हलफ़नामे से 'सरकार पर सवाल'	0
तिहाड़ से निकलते ही 35 हज़ार की नौकरी	0
डाओ को प्रायोजक बनाने में कोई बुराई नहीं: कैमरन 	1
गैंगरेप: 'मैंने उनसे प्रार्थना की कि वो हमें छोड़ दें'	0
पोलार्ड ने की छक्कों की बरसात, मुंबई जीता	4
क्यों राहुल-अखिलेश को यह साथ पसन्द है?	0
दूसरे ग्रहों पर जीवन की संभावना 	5
चुनाव आयोग ने टीवी इंटरव्यू के लिए राहुल गांधी को भेजा नोटिस वापस लिया	0
डेक्कन ने राजस्थान को आईपीएल प्ले ऑफ से बाहर किया	4
क्या हो सकता है तीसरा विश्व युद्ध?	2
कांग्रेसी कुछ भी कहने से डरते हैं: नरेंद्र मोदी	0
अंधेरी दुनिया में उजाले की किरण	5
नैटो नहीं भेजेगा अफ़ग़ान जेलों में क़ैदी	2
चुनाव लड़ना बलात्कार जैसा: तृणमूल प्रत्याशी	0
चाहती हूं शादी करना, वोट डालना भी, पता नहीं कब..	0
विचारों का गला घोंटना आधुनिक रोग: योगेंद्र यादव	0
पाक में फिर ड्रोन हमला, सात मरे	2
छत्तीसगढ़: 'परिवार 56 लाख, राशन कार्ड 64 लाख'	0
ताइवान में जानलेवा हो रहा है ओवरटाइम	1
कहीं भारी न पड़े वैदिक-हाफिज सईद कांड	0
सीरियाः रसायनिक हमले के दावे	2
भारत पहुँचेगा बलात्कार पीड़ित का शव	0
नौकरी चाहिए तो पहले कुंडली दिखाएं!	2
मेरी किस्मत ख़राब है: शाहिद कपूर	3
अर्थव्यवस्था को यूरोपीय बैंक-चीन का सहारा	1
कैथोलिक क्या सोचते हैं परिवार और शादी के बारे में?	2
लीबियाई प्रधानमंत्री के कार्यालय पर हमला	1
'भारत को सॉफ़्ट पावर बेचने की कोशिश करनी होगी'	0
कंडोम के विज्ञापन: निरोध से सॉफ़्ट पॉर्न तक	0
अपनी कॉफ़ी को पहचानिए नौ बातों में	0
मित्तल कारखाने क्यों नहीं लगा रहेः वर्मा	0
क्या है सानिया मिर्ज़ा की ख़्वाहिश?	4
घर का चूल्हा जलाने के लिए फ़ेसबुक का सहारा	2
'ज़मीन तो अच्छी है पर क्या मिट्टी खाऊँ'	0
किस तरह का सुपरपावर होगा चीन?	2
केबीसीः कबाड़ी से करोड़पति तक	0
क्यों पड़ी एक ही जीवनसाथी की परंपरा?	2
